scenario,seed,config_label,allocator,timeout,task_completion_rate,never_completed_tasks,mean_task_delay,max_task_delay,congestion_drop_rate,mean_completion_time,deadlock_timeout_fires
mass_fault,60,Vanilla Auction,vanilla_auction,30,1.0,0,73.73333333333333,253.0,0.0,98.06666666666666,0
mass_fault,70,Vanilla Auction,vanilla_auction,30,1.0,0,69.86666666666666,175.0,0.0,110.8,0
mass_fault,80,Vanilla Auction,vanilla_auction,30,0.9333333333333333,1,88.66666666666667,291.0,0.0,122.07142857142857,0
mass_fault,90,Vanilla Auction,vanilla_auction,30,1.0,0,79.46666666666667,199.0,0.0,133.26666666666668,0
mass_fault,1000,Vanilla Auction,vanilla_auction,30,0.9333333333333333,1,98.0,419.0,0.0,128.42857142857142,0
none,42,Proposed (K=15),auction,15,1.0,0,74.73333333333333,179.0,0.004793863854266539,139.4,0
none,100,Proposed (K=15),auction,15,1.0,0,68.53333333333333,204.0,0.01888888888888889,142.26666666666668,0
none,2023,Proposed (K=15),auction,15,1.0,0,82.4,208.0,0.00841908325537886,170.73333333333332,0
none,888,Proposed (K=15),auction,15,1.0,0,68.6,159.0,0.006289308176100629,135.93333333333334,0
none,9999,Proposed (K=15),auction,15,0.7333333333333333,4,55.666666666666664,129.0,0.021291696238467,157.45454545454547,0
none,10,Proposed (K=15),auction,15,0.9333333333333333,1,82.8,196.0,0.005434782608695652,251.5,0
none,20,Proposed (K=15),auction,15,0.9333333333333333,1,75.8,262.0,0.011636363636363636,152.21428571428572,0
none,30,Proposed (K=15),auction,15,1.0,0,74.06666666666666,185.0,0.009072580645161291,143.6,0
none,40,Proposed (K=15),auction,15,1.0,0,70.4,218.0,0.005025125628140704,135.8,0
none,50,Proposed (K=15),auction,15,1.0,0,59.266666666666666,145.0,0.006420545746388443,104.6,0
none,60,Proposed (K=15),auction,15,1.0,0,42.266666666666666,130.0,0.012727272727272728,71.8,0
none,70,Proposed (K=15),auction,15,0.8666666666666667,2,99.8,305.0,0.011652748106428433,112.42857142857143,0
